gene,source,drug
CSNK2A1,GuideToPharmacology,SILMITASERTIB
HTR1F,GuideToPharmacology,SUMATRIPTAN
SPINT1,NCI,SURAMIN
GRIA1,TdgClinicalTrial,SEVOFLURANE
MAP2K1,MyCancerGenome,TRAMETINIB
TOP2B,TTD,
SMO,TTD,
DRD1,DTC,OLEOYL DOPAMINE
CACNA1D,GuideToPharmacology,AMLODIPINE
,TTD,
CYP2D6,DTC,ASARININ
FMO3,PharmGKB,NICOTINE
KDR,GuideToPharmacology,
CYP3A4,NCI,GENISTEIN
PLK1,DTC,SOTRASTAURIN
INS,TTD,
PPARG,DTC,ABIETIC ACID
SCN5A,TEND,DISOPYRAMIDE
,TTD,
NR1I2,PharmGKB,RIFAPENTINE
G6PD,FDA,
POLK,DTC,PIRENOXINE
PLAUR,TdgClinicalTrial,UROKINASE
RHBDF2,PharmGKB,
KDM4A,DTC,MERCAPTOPURINE
PTGS2,TEND,OXAPROZIN
IDH1,DTC,TEGASEROD MALEATE
HTR2A,GuideToPharmacology,BROMOCRIPTINE
CAMKK2,TTD,
TUBB1,DTC,CYCLOSTREPTIN
TGFB1,TTD,PIRFENIDONE
POLB,DTC,DAUNORUBICIN HYDROCHLORIDE
F9,TdgClinicalTrial,
SCN8A,ChemblInteractions,TETRACAINE HYDROCHLORIDE
PLK1,DTC,CHEMBL1362503
SLC28A2,PharmGKB,
MAP4K4,DTC,PAZOPANIB
RARG,ChemblInteractions,TRETINOIN
PARP1,TTD,
PSMB2,ChemblInteractions,MARIZOMIB
RET,DTC,AST-487
MITF,DTC,PIPLARTINE
,TTD,
,TTD,
CNPY4,PharmGKB,
NMUR1,GuideToPharmacology,
DPP4,TTD,DUTOGLIPTIN
RPS6KB1,DTC,SP-600125
DHFR,GuideToPharmacology,PEMETREXED
CDK6,ChemblInteractions,ALVOCIDIB
,TTD,
GALK1,DTC,HEXACHLOROPHENE
ATAD5,DTC,CHEMBL1078244
NTRK1,TTD,
IGF1R,GuideToPharmacology,ISTIRATUMAB
PRKCD,DTC,GO-6976
ALOX5,DTC,CHEMBL416038
BRS3,GuideToPharmacology,
CFTR,TdgClinicalTrial,LUMACAFTOR
RAB9A,DTC,CHEMBL297784
ABCC4,GuideToPharmacology,
PDGFRA,DTC,LINIFANIB
HRAS,NCI,
KDM4A,DTC,CHEMBL1989853
GJB1,GuideToPharmacology,
HLA-DRB1,PharmGKB,ASPIRIN
KCNJ4,GuideToPharmacology,TENIDAP
HEXB,NCI,
GABRA2,TEND,BUTETHAL
NR3C2,TdgClinicalTrial,PROGESTERONE
DRD1,DTC,EPINEPHRINE
EHMT2,DTC,CHEMBL530664
CYP3A4,DTC,CHEMBL512908
CYP3A4,DTC,CROMOLYN
ABCB1,DTC,2'-HYDROXYCHALCONE
TYR,TTD,
GLRA3,GuideToPharmacology,
APOBEC3G,DTC,CHEMBL1451921
TP53,DTC,CHEMBL578890
ACE,TdgClinicalTrial,RESCINNAMINE
SCN5A,ChemblInteractions,PHENACEMIDE
PLK1,DTC,ALPHAPRODINE HYDROCHLORIDE
PTGS1,ChemblInteractions,BISMUTH SUBSALICYLATE
SF3B3,DTC,PLADIENOLIDE B
FPR1,TTD,REBAMIPIDE
VDR,DTC,CYSTEAMINE HYDROCHLORIDE
DRD2,TdgClinicalTrial,ROTIGOTINE
TUBA3D,ChemblInteractions,CABAZITAXEL
HTR1A,GuideToPharmacology,
PIM1,DTC,CHEMBL546797
TYR,TTD,
SOX10,PharmGKB,PACLITAXEL
CYP2D6,DTC,CHEMBL1079460
NR1I2,GuideToPharmacology,
ABCC1,DTC,(S)-VERAPAMIL
HDAC8,TTD,
IGF1R,TTD,
CHRNA7,TTD,TC-6987
CSNK1E,DTC,CHEMBL261454
CD83,NCI,SULFASALAZINE
AR,DTC,NORETHYNODREL
MAP3K20,DTC,CHEMBL535331
CDK2,ClearityFoundationClinicalTrial,DINACICLIB
,TTD,BMS-779788
TOP1,TdgClinicalTrial,
CFTR,PharmGKB,LUMACAFTOR
CDK2,TTD,
HTR2C,TTD,
FLT3,CIViC,
OPRD1,GuideToPharmacology,
CYP2C8,PharmGKB,RUCAPARIB
TXNRD1,TTD,
GLP1R,DTC,INDOPROFEN
CHRM5,GuideToPharmacology,XANOMELINE
RAD52,DTC,CHEMBL578719
EGFR,TALC,NIMOTUZUMAB
,TTD,
ATAD5,DTC,CHEMBL505209
ESR1,DTC,DACTINOMYCIN
XIAP,TALC,LCL-161
SNCA,DTC,ALTENUSIN
TOP2B,TdgClinicalTrial,VOSAROXIN
CSF2,TTD,LENZILUMAB
ALAD,TTD,
NR3C1,NCI,
AVPR1A,ChemblInteractions,SELEPRESSIN
CLCN2,GuideToPharmacology,
MME,GuideToPharmacology,CANDOXATRILAT
CNR1,TTD,
CCL21,NCI,
TUBA3E,ChemblInteractions,ERIBULIN MESYLATE
FLT3,TTD,MK-2461
GABRA3,TEND,ZOLPIDEM
UGT1A3,PharmGKB,ATORVASTATIN
RGS4,GuideToPharmacology,CHEMBL1476646
RAPGEF4,GuideToPharmacology,
CHAT,NCI,PILOCARPINE
KIT,GuideToPharmacology,
NPC1,DTC,BIOCHANIN
GABRE,ChemblInteractions,METHOHEXITAL SODIUM
SCN9A,ChemblInteractions,ESLICARBAZEPINE
CHRNA7,ChemblInteractions,PHA-543613
KCNH2,DTC,CHEMBL1237255
HSD17B10,DTC,FORMONONETIN
BIRC5,NCI,PACLITAXEL
RAB9A,DTC,GRINIMIBINE
GABRG2,ChemblInteractions,PROPOFOL
EDNRB,GuideToPharmacology,ATRASENTAN
GABRB1,TdgClinicalTrial,ALPRAZOLAM
DBH,PharmGKB,BUPROPION
HTR1B,TdgClinicalTrial,FROVATRIPTAN
ERBB2,JAX-CKB,AEE-788
PDE6C,GuideToPharmacology,
HSD17B10,DTC,CHEMBL244707
PSMD14,ChemblInteractions,OPROZOMIB
IGF1R,ChemblInteractions,MECASERMIN
APEX1,DTC,NBQX
RELA,NCI,
EPHA7,DTC,HESPERADIN
TSG101,DTC,CHEMBL103583
GLP1R,GuideToPharmacology,LIXISENATIDE
CYP2D6,FDA,PITOLISANT
,TTD,
,TTD,
TRPV1,DTC,POLYGODIAL
CCR2,GuideToPharmacology,
SSTR2,GuideToPharmacology,
HDAC7,GuideToPharmacology,CUDC-101
ITGB3,ChemblInteractions,ETARACIZUMAB
AR,DTC,SERTRALINE HYDROCHLORIDE
PTGER2,TTD,DINOPROSTONE
,TTD,
EHMT2,DTC,METHOCTRAMINE
CNR2,TTD,
PPCDC,PharmGKB,
ALDH1A1,DTC,RETINOL
EHMT2,DTC,FUSARIC ACID
PTGDR,GuideToPharmacology,
GABRP,TEND,CHLORDIAZEPOXIDE
PSMC6,MyCancerGenome,CARFILZOMIB
JAK3,DTC,CHEMBL1997335
FEN1,DTC,QUERCETIN
FAS,NCI,
,TTD,
CHRM2,GuideToPharmacology,
MAP2K1,TdgClinicalTrial,TRAMETINIB
TLR7,TTD,TELRATOLIMOD
BCL2,NCI,DIETHYLSTILBESTROL
STAT3,TTD,
CD19,TTD,
SLC6A2,TdgClinicalTrial,
PIK3R2,MyCancerGenome,BUPARLISIB
PDGFRB,GuideToPharmacology,
ALK,CIViC,CHEMBL473773
PTGFR,TTD,LAROPIPRANT
RARA,DTC,GERONTOXANTHONE A
F2,DTC,(-)-EPICATECHIN
PIK3CB,ChemblInteractions,RECILISIB
EPOR,ChemblInteractions,DARBEPOETIN ALFA
KDM4A,DTC,CHEMBL1989750
LSS,GuideToPharmacology,
SMN2,DTC,RUTAECARPINE
DRD2,TTD,
HTR1A,PharmGKB,
CACNA2D3,ChemblInteractions,BEPRIDIL HYDROCHLORIDE
CHRM4,GuideToPharmacology,
CYP3A4,DTC,CHEMBL131171
ALOX15,DTC,MERCURIC CHLORIDE
CASP3,DTC,WITHAFERIN A
CD19,TTD,
CYP2C9,DTC,CHEMBL180966
DRD1,GuideToPharmacology,PERICIAZINE
BAZ2B,DTC,CHEMBL260311
EPCAM,TdgClinicalTrial,OPORTUZUMAB MONATOX
PLD1,GuideToPharmacology,
CACNA1F,ChemblInteractions,GABAPENTIN
FGFR1,OncoKB,
FLT4,ChemblInteractions,LINIFANIB
CYP1A2,DTC,"(R,S)-INDATRALINE"
APEX1,DTC,ENALAPRIL
SCN1A,GuideToPharmacology,SAXITOXIN
LEP,NCI,METHIMAZOLE
SLC6A4,PharmGKB,ALCOHOL
GLS,DTC,CHEMBL1527
GSK3A,TTD,CHIR-99021
HDAC5,TALC,
ITGAM,NCI,DIMETHYL SULFOXIDE
DNTT,NCI,
C10ORF67,PharmGKB,MITOXANTRONE
TP53,DTC,U-50488 METHANE SULFONATE
SERPINB2,TdgClinicalTrial,UROKINASE
BAX,NCI,
CHRNA4,TdgClinicalTrial,BUTETHAL
FLT3,TALC,SORAFENIB
AR,DTC,PREDNISOLONE
VDR,DTC,VITAMIN K3H2
GPR119,TTD,
HTR2A,ChemblInteractions,TRELANSERIN
F2,PharmGKB,
CES1,GuideToPharmacology,
MAPT,DTC,NOREPINEPHRINE
RGS4,DTC,DIMETHYLPINOCEMBRIN
,TTD,
GSK3B,DTC,ALSTERPAULLONE
TOP2A,TdgClinicalTrial,BECATECARIN
HRH3,GuideToPharmacology,CHEMBL351231
ATAD5,DTC,CHEMBL502774
CYP2C9,DTC,CHEMBL362863
KDR,ChemblInteractions,CEP-7055
TBXA2R,GuideToPharmacology,
HCRTR1,TTD,
PRKAA1,NCI,PENTOSTATIN
CLK4,DTC,IMATINIB
NPM1,TTD,
KLC1,PharmGKB,FLUOROURACIL
CXCL8,DTC,E319
COL1A2,NCI,
CASP3,GuideToPharmacology,
TUBA3E,ChemblInteractions,CROLIBULIN
HDAC7,TALC,ABEXINOSTAT
,TTD,
NQO2,DTC,CHEMBL1287867
ANXA1,TEND,PREDNISOLONE
CACNA1F,ChemblInteractions,DILTIAZEM HYDROCHLORIDE
GABRG3,TEND,QUAZEPAM
GABRR1,TEND,FLURAZEPAM
GPR55,GuideToPharmacology,
P2RY1,GuideToPharmacology,
HDAC6,ChemblInteractions,FIMEPINOSTAT
OPRM1,TdgClinicalTrial,LOPERAMIDE
,TTD,
GABRA3,ChemblInteractions,METHOHEXITAL SODIUM
CYP2C19,PharmGKB,CLOZAPINE
NFE2L2,DTC,PENDIMETHALIN
KCNH2,TdgClinicalTrial,AMIODARONE
THRB,DTC,CHEMBL1397308
CD40,TdgClinicalTrial,LUCATUMUMAB
ADRB1,TTD,CHEMBL111201
CYP19A1,PharmGKB,DOXORUBICIN
BDKRB2,GuideToPharmacology,
SOD2,PharmGKB,CYCLOPHOSPHAMIDE
GRIA3,ChemblInteractions,ZONAMPANEL
GRIA3,GuideToPharmacology,PIRACETAM
AR,DTC,UNOPROSTONE ISOPROPYL
RPS6KA3,DTC,LAUROGUADINE
PTH1R,GuideToPharmacology,
,TTD,
ESR1,TdgClinicalTrial,
FGA,TdgClinicalTrial,RETEPLASE
LNPEP,TTD,
S1PR2,GuideToPharmacology,
TP53,DTC,CHEMBL599088
HMGB1,NCI,PREDNISOLONE
HDAC1,MyCancerGenome,PANOBINOSTAT
ABCC1,TTD,BENZBROMARONE
MDH2,NCI,ALBUMIN HUMAN
CD19,TTD,
EGFR,GuideToPharmacology,OSIMERTINIB
ADORA3,GuideToPharmacology,
HDAC1,TdgClinicalTrial,CHIDAMIDE
SIGMAR1,TTD,
EPOR,GuideToPharmacology,CIBINETIDE
KCNMA1,ChemblInteractions,ANDOLAST
CYP17A1,TTD,ORTERONEL
CLK4,DTC,SB-202190
CYP3A4,PharmGKB,FELBAMATE
OPN1LW,DTC,CYCLOCITRAL
TOP2A,TdgClinicalTrial,VOSAROXIN
ADRA1B,TEND,DOXAZOSIN
AR,GuideToPharmacology,BICALUTAMIDE
GLP2R,TdgClinicalTrial,GLEPAGLUTIDE
HTR1A,GuideToPharmacology,
ADORA1,ChemblInteractions,ROLOFYLLINE
VDR,DTC,ARACHIDONYL TRIFLUOROMETHYLKETONE
CACNA1F,ChemblInteractions,PREGABALIN
ADRB1,TTD,DIPIVEFRIN
CYP3A4,DTC,BUSULFAN
BDKRB2,TTD,
RAB9A,DTC,GENISTEIN
OXTR,GuideToPharmacology,
ATP4A,TTD,DEXLANSOPRAZOLE
CREBBP,DTC,ETAZOLATE
ADRB2,GuideToPharmacology,MIRABEGRON
GSR,NCI,THYROXINE
HCRTR2,GuideToPharmacology,SELTOREXANT
POLH,DTC,CHEMBL1527
HPGD,DTC,CHEMBL220845
HTR6,ChemblInteractions,CERLAPIRDINE
CYP3A4,NCI,
ADRA1B,PharmGKB,METHOXAMINE
TOP2A,TEND,DOXORUBICIN
CYP1A2,DTC,CHEMBL271165
STAT3,DTC,AZD-1480
HCAR2,DTC,NIACIN
COMT,TdgClinicalTrial,TOLCAPONE
GABRB3,TdgClinicalTrial,PROPOFOL
RARA,NCI,
C5AR2,GuideToPharmacology,RAVIDASVIR
CYP2C9,PharmGKB,OSPEMIFENE
BAZ2B,DTC,LANSOPRAZOLE
LPAR3,GuideToPharmacology,
HDAC7,MyCancerGenome,VORINOSTAT
PBRM1,GuideToPharmacology,
GALR1,GuideToPharmacology,
BRDT,DTC,TRIAZOLAM
EHMT2,DTC,L-MIMOSINE
TUBA1B,DTC,PACLITAXEL
TRPV1,DTC,CHEMBL191534
ESR1,ClearityFoundationClinicalTrial,VINTAFOLIDE
HTR2A,GuideToPharmacology,LUMATEPERONE
IL11,NCI,ALENDRONIC ACID
SMO,TTD,
FER,DTC,ALISERTIB
,TTD,
ALDH1A1,DTC,HOMOVANILLIC ACID
GABRA2,TdgClinicalTrial,CINOLAZEPAM
FLT3,DTC,TAE-684
IL2,TTD,
HEBP1,TTD,
TAT,NCI,PROGESTERONE
MGAM,TTD,SALACINOL
RPS6KA3,GuideToPharmacology,CHEMBL573107
CHRM4,TdgClinicalTrial,TOLTERODINE
GRM5,TTD,
CSF2,NCI,STAUROSPORINE
RPS6KB1,GuideToPharmacology,LY-2584702
MET,ChemblInteractions,AMUVATINIB
GABBR2,TdgClinicalTrial,ARBACLOFEN
SLC22A6,PharmGKB,
GPR119,TdgClinicalTrial,
CYP1A2,PharmGKB,IMIPRAMINE
TXNRD1,TdgClinicalTrial,
UMOD,NCI,
GRIN2B,TTD,RISLENEMDAZ
GABRA3,ChemblInteractions,ISOFLURANE
MAPK9,DTC,CHEMBL406845
POLI,DTC,CEPHALOCHROMIN
PIK3R5,ChemblInteractions,BGT-226
KIT,ChemblInteractions,SU-014813
IDO1,TTD,
DGKB,PharmGKB,
TP53,DTC,CHEMBL261118
GABRA3,TdgClinicalTrial,TRIAZOLAM
DGAT1,TTD,
MELK,DTC,SNS-314
FGFR1,ChemblInteractions,ENMD-981693
NOS1,NCI,PRAZOSIN
ESR1,GuideToPharmacology,RALOXIFENE
TLR9,TTD,
ERBB2,FDA,
CYP3A5,PharmGKB,ROSUVASTATIN
NFE2L2,DTC,CHEMBL225257
MGAM,TTD,DUVOGLUSTAT
MAPK3,DTC,YUANHUADINE
XIAP,GuideToPharmacology,CHEMBL504559
DRD1,TdgClinicalTrial,LISURIDE
CYP2C19,PharmGKB,FORMOTEROL
IL18,NCI,
CYP1A2,DTC,BENOXINATE
HMGCR,GuideToPharmacology,LOVASTATIN
OPRD1,TEND,NALTREXONE
TSPO,TTD,
CDK1,TTD,
CYP3A4,NCI,PIOGLITAZONE
DPP4,ChemblInteractions,BEGELOMAB
BACE1,TTD,
PRKAA1,NCI,THYROXINE
CYP3A4,PharmGKB,TROPISETRON
GABRA1,TdgClinicalTrial,DESFLURANE
PRCP,PharmGKB,BENAZEPRIL
BAZ2B,DTC,CHEMBL546975
GLP1R,DTC,CHEMBL604664
GCLM,NCI,
CRP,PharmGKB,ROSUVASTATIN
AKT1,TdgClinicalTrial,IPATASERTIB
JAK1,TTD,
SCN11A,ChemblInteractions,RUFINAMIDE
THRA,TdgClinicalTrial,LEVOTHYROXINE
GRIN2A,GuideToPharmacology,
P2RY4,GuideToPharmacology,DENUFOSOL
ATP4A,TTD,OMEPRAZOLE
ERBB2,GuideToPharmacology,BMS-690514
ADORA3,GuideToPharmacology,
PGD,NCI,PENICILLAMINE
ADRA2B,ChemblInteractions,HYDROXYAMPHETAMINE HYDROBROMIDE
RECQL,DTC,CHEMBL1305393
F8,TTD,
PIK3CA,JAX-CKB,NERATINIB
,TTD,
VEGFA,ChemblInteractions,AFLIBERCEPT
PTGS1,TEND,IBUPROFEN
GRM2,TTD,
RASGRP1,DTC,PHORBOL MYRISTATE ACETATE
ADORA2A,GuideToPharmacology,ISTRADEFYLLINE
CDC7,DTC,CHEMBL541400
ADRA1B,GuideToPharmacology,PRAZOSIN
ERAP2,GuideToPharmacology,
FEN1,DTC,STREPTONIGRIN
EHMT2,DTC,PHENAZINE
CCR2,TTD,
AURKC,TdgClinicalTrial,TOZASERTIB
CEACAM1,TdgClinicalTrial,ARCITUMOMAB
PDE4A,TdgClinicalTrial,
SCN10A,TEND,PROPARACAINE
CYP3A4,DTC,BRADANICLINE
CSNK1G2,DTC,CHEMBL225519
GRM2,TTD,
MAP2K1,TALC,PIMASERTIB
CDH23,PharmGKB,METHYLPHENIDATE
MMP2,NCI,SIMVASTATIN
SLC2A4,NCI,PENICILLAMINE
CYP2C9,DTC,SELEGILINE
MAPK14,DTC,GEFITINIB
MUC5AC,ChemblInteractions,ENSITUXIMAB
BAZ2B,DTC,CHEMBL585591
SLC6A9,TTD,
SLC6A9,TTD,
FAAH,TTD,
GNAQ,JAX-CKB,EVEROLIMUS
CASP10,ChemblInteractions,EMRICASAN
SPHK1,TdgClinicalTrial,
CA2,TEND,ACETAZOLAMIDE
LIPE,TTD,
GRIN2A,ChemblInteractions,ACAMPROSATE CALCIUM
ATXN2,DTC,CHEMBL582699
SLC6A15,DTC,LORATADINE
S1PR1,GuideToPharmacology,FINGOLIMOD
CYP2C9,DTC,CARBAMAZEPINE
AR,ChemblInteractions,GALETERONE
NT5E,TTD,
DPP4,GuideToPharmacology,TALABOSTAT
ATM,CIViC,OLAPARIB
AVPR1A,TTD,
GMNN,DTC,ASTEMIZOLE
CASR,GuideToPharmacology,SPERMINE
MAPK9,DTC,OSI-632
GLRA1,GuideToPharmacology,
EGFR,JAX-CKB,TAK-285
HTR1A,GuideToPharmacology,DONITRIPTAN
GRK5,DTC,JNJ-7706621
RECQL,DTC,ROSE BENGAL
NFE2L2,DTC,ENNIATIN B
IRAK4,DTC,GO-6976
CYP19A1,ChemblInteractions,LETROZOLE
ALK,JAX-CKB,SELUMETINIB
KDR,DTC,CHEMBL379975
HSD17B10,DTC,SALICYLURIC ACID
CYP2A6,PharmGKB,ARTESUNATE
TGFB1,NCI,VERAPAMIL
ABCC2,PharmGKB,DOXORUBICIN
SMAD3,DTC,CHEMBL600694
IKBKB,TTD,IMD-1041
HIF1A,DTC,PIMOZIDE
CHRM4,GuideToPharmacology,
CACNA1H,DTC,CHEMBL592106
HRH1,TdgClinicalTrial,MEQUITAZINE
PKM,DTC,EBSELEN
FRK,DTC,RG-1530
ERBB2,CIViC,
IMPDH1,TTD,
NFE2L2,DTC,PIPOBROMAN
OPRL1,GuideToPharmacology,
SLC14A2,PharmGKB,NIFEDIPINE
FPR1,DTC,PENICILLIN G POTASSIUM
CAPN2,TTD,
GMNN,DTC,CHEMBL584442
,TTD,
SCN11A,TTD,TOLPERISONE
VDR,GuideToPharmacology,DOXERCALCIFEROL
PIM2,GuideToPharmacology,RUBOXISTAURIN
CBX1,DTC,DOPAMINE HYDROCHLORIDE
FLT3,GuideToPharmacology,
TUBB1,DTC,VINCRISTINE
ITGAV,GuideToPharmacology,
RET,CIViC,AST-487
HTR4,GuideToPharmacology,
IL1B,NCI,ERYTHROMYCIN
BAP1,CIViC,APITOLISIB
EZH2,TTD,
FECH,TTD,
NFE2L2,DTC,CHLORANIL
GRM4,DTC,CHEMBL571453
EGFR,TdgClinicalTrial,VANDETANIB
BCR,FDA,NILOTINIB
SLK,DTC,CYC-116
KCNH2,DTC,CHEMBL589946
CDK4,CancerCommons,PALBOCICLIB
JAK2,GuideToPharmacology,RGB-286638
PIK3CG,GuideToPharmacology,ALPELISIB
PTGER4,GuideToPharmacology,GRAPIPRANT
RXFP4,GuideToPharmacology,
NR1I2,PharmGKB,ROSIGLITAZONE
CYP1A2,DTC,DIPHENYLENEIODONIUM
PKD2L1,GuideToPharmacology,
EHMT2,DTC,CHEMBL166486
CTSL,GuideToPharmacology,
ITK,GuideToPharmacology,
GPR68,GuideToPharmacology,LORAZEPAM
ALPI,DTC,ISOQUERCETIN
ESR1,PharmGKB,GOSERELIN
CASR,TTD,VELCALCETIDE
SV2A,TdgClinicalTrial,BRIVARACETAM
HRAS,JAX-CKB,RIGOSERTIB
,TTD,CAPECITABINE
DPP4,TTD,
JUN,DTC,COLCHICINE
IDH1,DTC,CHEMBL538798
HSD11B1,TTD,
SELP,GuideToPharmacology,
CES1,TTD,
MAP3K9,ChemblInteractions,CEP-1347
HCRTR1,GuideToPharmacology,FILOREXANT
HMGCR,TEND,SIMVASTATIN
IDH1,DTC,TRICLABENDAZOLE
ROCK2,TdgClinicalTrial,VEROSUDIL
GRIA1,GuideToPharmacology,
GCGR,DTC,REDIOCIDE A
CA9,TTD,
NFKB1,DTC,PARTHENOLIDE
VDR,NCI,TESTOSTERONE
VEGFA,NCI,
VIM,NCI,
EHMT2,DTC,SALMETEROL XINAFOATE
CYP3A4,PharmGKB,CITALOPRAM
MET,MyCancerGenomeClinicalTrial,
HTR1A,GuideToPharmacology,CAPESEROD
GABRA3,TdgClinicalTrial,ZOLPIDEM
CYP2D6,DTC,(R)-FLECAINIDE
TYMSOS,PharmGKB,AZATHIOPRINE
NPC1,DTC,CHEMBL169046
DOK5,PharmGKB,DEXAMETHASONE
DNASE1L3,TTD,
MGLL,GuideToPharmacology,
PPARG,DTC,GENTIAN VIOLET
CYP2D6,GuideToPharmacology,
ADRA2C,PharmGKB,NOREPINEPHRINE
ALDH1A1,DTC,METRONIDAZOLE
APP,TTD,
TSHR,DTC,CLOTRIMAZOLE
BAZ2B,DTC,CHEMBL605959
PIK3R2,ChemblInteractions,SAMOTOLISIB
VEGFA,TTD,
PTGDR2,GuideToPharmacology,ARRY-502
YES1,DTC,CHEMBL313417
SMO,TTD,
YES1,DTC,REGORAFENIB
SCN2A,ChemblInteractions,CHLOROPROCAINE HYDROCHLORIDE
KCNH2,DTC,PHENOLPHTHALEIN
GC,TTD,
NFKB1,TEND,THALIDOMIDE
FLT4,MyCancerGenome,ORANTINIB
L3MBTL1,DTC,BAICALEIN
CYP1A2,PharmGKB,FLIBANSERIN
G6PD,PharmGKB,PRILOCAINE
CASR,GuideToPharmacology,
SSTR1,GuideToPharmacology,
ERBB2,CIViC,SIROLIMUS
DRD2,TEND,QUETIAPINE
MST1R,DTC,ILORASERTIB
BRAF,ClearityFoundationBiomarkers,PIMASERTIB
,MyCancerGenomeClinicalTrial,CELECOXIB
AOX1,TTD,MENADIONE
KDR,MyCancerGenome,RAF-265
NQO1,ChemblInteractions,VATIQUINONE
AKR1B1,GuideToPharmacology,LIDORESTAT
MAP2K1,ChemblInteractions,BALAMAPIMOD
CYP2D6,DTC,DIAZOXIDE
SMN1,DTC,DESMETHOXYYANGONIN
CA2,ChemblInteractions,DICHLORPHENAMIDE
MET,DTC,ENTRECTINIB
HTR1E,GuideToPharmacology,TRYPTAMINE
GRM5,TTD,
NFKB1,DTC,CHEMBL51697
PGR,PharmGKB,NERATINIB
EHMT2,DTC,CHEMBL538798
SMO,ChemblInteractions,SONIDEGIB PHOSPHATE
TUBA1C,DTC,VINORELBINE
DYRK3,DTC,SORAFENIB
ESR1,DTC,KAEMPFEROL
SLC5A4,TTD,
HLA-DRB1,PharmGKB,FLUVASTATIN
HRAS,NCI,
HDAC6,TTD,
HTR1B,GuideToPharmacology,SEROTONIN
AKT2,ClearityFoundationClinicalTrial,IPATASERTIB
FCGR3B,NCI,ALDESLEUKIN
AKT1,DTC,SOTRASTAURIN
LTB4R2,GuideToPharmacology,
TOP2B,TTD,NEMORUBICIN
JAK1,TTD,
RUNX1,JAX-CKB,DOXORUBICIN
KCNJ1,TTD,
ITK,GuideToPharmacology,IBRUTINIB
OPRK1,GuideToPharmacology,
TMEM97,TTD,
NPR2,TdgClinicalTrial,NESIRITIDE
IDO1,GuideToPharmacology,
CNR1,TTD,
ALOX15B,DTC,CHEMBL122701
ALDH1A1,DTC,CHEMBL576353
GABRA4,TdgClinicalTrial,FLURAZEPAM
CDK6,ChemblInteractions,RIBOCICLIB
PDE10A,TTD,
FEN1,DTC,SURAMIN
MET,JAX-CKB,IMATINIB
NRAS,JAX-CKB,CETUXIMAB
AKT3,ClearityFoundationClinicalTrial,MK-2206
TAOK1,DTC,CHEMBL225519
CDK1,ChemblInteractions,RONICICLIB
ALCAM,CIViC,FLUOROURACIL
HTR6,TdgClinicalTrial,
IDH1,FDA,VENETOCLAX
ABL1,OncoKB,ASCIMINIB
HPGD,DTC,THIMEROSAL
ORAI1,TdgClinicalTrial,
P2RY12,ChemblInteractions,ELINOGREL
ESR1,OncoKB,FULVESTRANT
PLK1,DTC,GW843682X
BCL2,NCI,TAZAROTENE
APH1A,DTC,SEMAGACESTAT
HTR2C,GuideToPharmacology,SERTINDOLE
AR,TdgClinicalTrial,GALETERONE
PIK3CB,GuideToPharmacology,PILARALISIB
HCRTR1,TTD,
CYP3A4,DTC,HOMATROPINE METHYLBROMIDE
FLT1,TdgClinicalTrial,TESEVATINIB
MAOB,ChemblInteractions,
PTGER4,NCI,BETAMETHASONE
CSF1R,GuideToPharmacology,
VDR,DTC,MANUMYCIN A
KIT,JAX-CKB,PEXIDARTINIB
HTR2B,TEND,LEVOMEPROMAZINE
KCNH2,DTC,CHEMBL333121
TRPM8,GuideToPharmacology,
DDIT3,NCI,PACLITAXEL
ATXN2,DTC,RALOXIFENE
KCNA1,TdgClinicalTrial,DESFLURANE
PDGFRB,TALC,CEDIRANIB
NT5E,NCI,INOSITOL
PIK3CA,JAX-CKB,DS-7423
GMNN,DTC,EFAROXAN
CTLA4,TALC,TREMELIMUMAB
PTGS1,ChemblInteractions,IBUPROFEN LYSINE
NFKB2,DTC,CHEMBL406557
CYP2D6,DTC,CLOTRIMAZOLE
AR,DTC,MEPANIPYRIM
GATA2,NCI,AZACITIDINE
MAPK1,TTD,CHIR-99021
,TTD,
DBH,TdgClinicalTrial,NEPICASTAT
AR,DTC,MESTANOLONE
TYK2,ChemblInteractions,TOFACITINIB CITRATE
PTGS2,TEND,KETOPROFEN
GABRB2,ChemblInteractions,BUTABARBITAL SODIUM
CYP2C19,DTC,TPCK
NCOA1,DTC,CHEMBL533226
NCOA3,NCI,TAMOXIFEN
ESR1,TdgClinicalTrial,
BLM,DTC,DIHYDROGAMBOGIC ACID
PIK3CB,GuideToPharmacology,
NTRK1,TTD,
KCNA4,NCI,VERAPAMIL
SMAD4,JAX-CKB,SAPANISERTIB
USP1,DTC,BEXAROTENE
APEX1,DTC,RHEIN
CBX1,DTC,CHEMBL1256678
EHMT2,DTC,PHENAZINE-1-CARBOXYLIC ACID
FFAR1,GuideToPharmacology,
DPP4,TTD,
MET,CIViC,TEPOTINIB
CDK6,TTD,
FAAH,TTD,
CYP2C8,PharmGKB,
SCN9A,ChemblInteractions,LAMOTRIGINE
TRPV1,GuideToPharmacology,OLVANIL
GMNN,DTC,SORAFENIB
TUBB,ChemblInteractions,CABAZITAXEL
ABL1,TTD,SARACATINIB
CALCA,TTD,BIMAKALIM
,TTD,
KDM4E,DTC,CHEMBL1392244
ADORA1,GuideToPharmacology,
IDH1,DTC,VINBLASTINE SULFATE
DRD4,ChemblInteractions,LEVOMEPROMAZINE
